,total_investment,total_return,to_compare_with_based,relative_return_pct
BP PLC,0.0,0.0,0.010625182784268716,
FMC CORP,0.12823275862068972,0.001320960561918104,0.4838389555722271,0.01030127228117647
WEYERHAEUSER CO,6.194167873863844,0.06347113634489523,0.02862799358514545,0.010246918978852722
