User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Couleurs Power,@CouleursPower,2022-03-04T22:29:03.000Z,"Couleurs Power
@CouleursPower
·
Mar 4, 2022J'adore, #TotalEnergies, critiqué pour ne pas se retirer de Russie, qui tente actuellement de redorer son blason sur Twitter avec du #greenwashing à deux balles.
Ils nous prennent vraiment pour des buses
1
2",1,,2
Retable,@surcouf09,2022-03-04T22:23:45.000Z,"Retable
@surcouf09
·
Mar 4, 2022Replying to 
@jdomerchet
 and 
@lopinion_fr
Forcer 
@TotalEnergies
 a se saborder? Vous pensera l'après? Ce n'est que le début de la recomposition et il faut préserver au moins ce qui reste doit il de puissance
1",,,1
VitriolDeDroite ⓩ,@mailtmax,2022-03-04T22:05:16.000Z,"VitriolDeDroite ⓩ
@mailtmax
·
Mar 4, 2022Replying to 
@a_chauprade
 @AberlinJacklyne
 and 
@TotalEnergies
La france n'etant pas en guerre avec la russie le secteur privé est libre de gérer ses affaires à sa guise n'en déplaise aux gamins.
1",,,1
MiDo,@Ladodue,2022-03-04T20:07:02.000Z,"MiDo
@Ladodue
·
Mar 4, 2022TotalEnergies refuse de retirer ses actifs de la Russie
La Relève et La Peste
lareleveetlapeste.fr
TotalEnergies refuse de retirer ses actifs de la Russie
Alors que de nombreux champs pétroliers ont diminué dans les régions d’approvisionnement historiques du groupe français, la Russie est devenu le fournisseur principal de Total, qui détient 24% de ses...
1",1,,
Jean-Marie CHAUVET,@jmchauvet51,2022-03-04T17:50:24.000Z,"Jean-Marie CHAUVET
@jmchauvet51
·
Mar 4, 2022Intéressant “La FNSEA apportera son réseau d'agriculteurs et son expertise du monde agricole et TotalEnergies partagera son savoir-faire industriel, ses moyens et sa connaissance de toutes les énergies', résume Patrick Pouyanné, p.d.-g. de TotalEnergies.”
boursorama.com
TotalEnergies: partenariat stratégique avec la FNSEA
(CercleFinance.com) - TotalEnergies annonce aujourd'hui nouer un partenariat stratégique avec la Fédération Nationale des Syndicats d'Exploitants Agricoles (FNSEA) 'en vue d'accompagner et d'accélé...",,,
DERROUICH,@derrouich67,2022-03-04T17:28:46.000Z,"DERROUICH
@derrouich67
·
Mar 4, 2022Replying to 
@a_chauprade
 and 
@TotalEnergies
…Les USA l’humilient, les britanniques la moquent…À Berlin, ne parlez surtout d’un couple franco-allemand, c’est une hérésie pour eux. Maintenant, on se tire une balle dans le pied avec ce bellicisme amateur avec la Russie qu’on pousse davantage dans les bras de la Chine..
1",,,1
DERROUICH,@derrouich67,2022-03-04T17:22:45.000Z,"DERROUICH
@derrouich67
·
Mar 4, 2022Replying to 
@a_chauprade
 and 
@TotalEnergies
C’est frustrant de voir l’influence de la France se consumer un peu partout : Paris est moins audible au Proche-Orient.  Le Maroc la concurrence en Afrique, l’Algérie lui demande des comptes. En Afrique, la Chine, la Russie et la Turquie rognent son influence…
1",,,1
BiPgazpétrole,@BiPgazpetrole,2022-03-04T15:36:58.000Z,"BiPgazpétrole
@BiPgazpetrole
·
Mar 4, 2022Dans 
@BiPgazpetrole
 

AIE : 10 pistes pour se passer du gaz russe
De nouvelles entreprises prennent position
TotalEnergies lance la production de SAF en Normandie
International Energy Agency and 4 others
1",,,1
Hélène Bourges,@LnBourges,2022-03-04T13:12:47.000Z,"Hélène Bourges
@LnBourges
·
Mar 4, 2022Des éléments clefs pour comprendre l'attitude de 
@TotalEnergies
 qui s'accroche à ses projets russes. L'avenir de la major est lié au gaz russe.
AITEC
@AitecIPAM
·
Mar 3, 2022
Dans cette note que nous co-publions avec le @transfolab, les auteurs montrent que les intérêts de @TotalEnergies en Russie sont bien plus importants que ne le laisse penser sa direction, pouvant ainsi expliquer son refus de quitter la Russie comme le font d'autres majors. twitter.com/transfolab/sta…",,,
Apend’hoc,@ApendHoc,2022-03-04T12:25:46.000Z,"Apend’hoc
@ApendHoc
·
Mar 4, 2022Replying to 
@TotalEnergiesFR
 @TotalEnergies
 and 6 others
Je penses qu’il n’y a rien à expliquer ! 
@TotalEnergiesFR
 n’est pas fiable ! 

Et encore moins prêt à la conversion énergétique contrairement à ses annonces !",,,
