User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Nasty Meany Kiddo,@NastyMeany,2021-01-26T23:59:44.000Z,"Nasty Meany Kiddo
@NastyMeany
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
Makes sense. 

Republicans thought giving corporations tax cuts would mean they could use them to their advantage. They got cocky. Similar to how MAGA pretend-loved cops until they started murdering them. Cops fought back.

Hopefully both are done being useful pawns for the GOP.
1",,,1
boulderjames,@boulderjames1,2021-01-26T23:59:09.000Z,"boulderjames
@boulderjames1
·
Jan 27, 2021@HawleyMO
 “never going to be president.” UPDATE: 9 more Fortune 500 companies are suspending donations to the 147 Republicans who tried to overturn the election.
@AllState
@PGE4Me
 (PG&E)
@kraftheinzco
@PSEGNews
 
@Ebay
@GeneralMills
@QurateRetailGrp
@TheAESCorp
@NewmontCorp
1",,,1
Kurt Hansen,@thatguykurt,2021-01-26T23:58:52.000Z,"Kurt Hansen
@thatguykurt
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
Good.
1",,,1
AM,@MchenaultA,2021-01-26T23:57:58.000Z,"AM
@MchenaultA
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
As a former employee of Allstate, I am very happy to see them add their name to the list",,,
Angie Marie,@AMJ0416,2021-01-26T23:57:37.000Z,"Angie Marie
@AMJ0416
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
Consequences",,,
M Petlover,@MSP79029981,2021-01-26T23:57:32.000Z,"M Petlover
@MSP79029981
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
Great! I don’t have to boycott these companies now.
1",,,1
Fletcher,@MunsonFletcher,2021-01-26T23:57:07.000Z,"Fletcher
@MunsonFletcher
·
Jan 27, 2021Replying to 
@buddhasgift1
 @JuddLegum
 and 10 others
... which they don‘t. But at least they stand with stability, which is a good basis for making profits.

And yes: I am disgusted as well, but not surprised in the least. ",,,
Neil Stewart,@neilstewart99,2021-01-26T23:56:54.000Z,"Neil Stewart
@neilstewart99
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
The cynical part of me thinks this is just an illusion. They'll be back donating to the R's once they feel the heat has died down enough.
1
3",,1,3
Katjoy,@Katjoy19,2021-01-26T23:56:52.000Z,"Katjoy
@Katjoy19
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
Thank you to the corporations who respect USA, but also know they could not exist under a dictator!",,,
Melinda,@me2buck,2021-01-26T23:56:06.000Z,"Melinda
@me2buck
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
Thank you Judd! And thanks to all the corporate folks with the courage & respectability to stand up to terrorists. ",,,
AM,@MchenaultA,2021-01-26T23:54:50.000Z,"AM
@MchenaultA
·
Jan 27, 2021Replying to 
@MchenaultA
 and 
@SenThomTillis
UPDATE: 9 more Fortune 500 companies are suspending donations to the 147 Republicans who tried to overturn the election.
@AllState
@PGE4Me
 (PG&E)
@kraftheinzco
@PSEGNews
 
@Ebay
@GeneralMills
@QurateRetailGrp
@TheAESCorp
@NewmontCorp
(Via 
@CNN
)
2",,,2
Jason,@FstStangGt02,2021-01-26T23:54:49.000Z,"Jason
@FstStangGt02
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
Wonder if these corps know that Democrats have voted against certification for every Republican president since 1988?",,,
James Martini,@JamesLMartini,2021-01-26T23:54:05.000Z,"James Martini
@JamesLMartini
·
Jan 27, 2021Replying to 
@JuddLegum
 @HC_Richardson
 and 10 others
Thanks.",,,
Nut cracker 3,@Nutcracker31,2021-01-26T23:53:47.000Z,"Nut cracker 3
@Nutcracker31
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
T.I. ACCUSED OF ONCE HOLDING GUN TO TINY'S FRIEND SABRINA PETERSON'S HEAD",,,
Stand Up Republic - Kansas,@SUR_Kansas,2021-01-26T23:53:21.000Z,"Stand Up Republic - Kansas
@SUR_Kansas
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
Thank you to these companies. 

We must hold the trade associations accountable too.",,,
Blue Boomer,@catahoulasam,2021-01-26T23:53:13.000Z,"Blue Boomer
@catahoulasam
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
Are these companies in addition to those who already stopped their support?",,,
This Girl is on Fire’s Mom- MEM,@ResisttrumpBlue,2021-01-26T23:53:06.000Z,"This Girl is on Fire’s Mom- MEM
@ResisttrumpBlue
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
Thank you corporate USA",,,
E-Diplomacy✦government | politics✦traveler,@ShirlAAdams,2021-01-26T23:49:42.000Z,"E-Diplomacy✦government | politics✦traveler
@ShirlAAdams
·
Jan 27, 2021Replying to 
@JuddLegum
 @Allstate
 and 9 others
This is great but obviously isn't enough  when 45  Republicans including #MoscowMitch declared putting a former president on trial for inciting the #CapitolInsurrection is unconstitutional. #GOPTraitorsToDemocracy 

Keep up the pressure. #GrabYourWallet 
#ResistTyranny
1
1",,1,1
