User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Olivier Guérin,@Strasser_500,2022-03-16T20:18:49.000Z,"Olivier Guérin
@Strasser_500
·
Mar 16, 2022Replying to 
@Diego6989
 @10_th
 and 3 others
Abruti. Total ne prend que 1 centime par litre de carburant vendu en station-service, pendant que l'État français se goinfre avec 60 % de taxes.
1",1,,
Olivier Guérin,@Strasser_500,2022-03-16T20:17:27.000Z,"Olivier Guérin
@Strasser_500
·
Mar 16, 2022Replying to 
@Marc12119906
 @PPouyanne
 and 
@TotalEnergies
Crétin. Tu crois qu'on investit notre argent dans Total contre aucune rémunération en retour ? Pas de dividendes, pas d'actionnaires et pas de capital pour aider l'entreprise à se développer.
1",,,1
l'express,@lexpressmaurice,2022-03-16T19:50:59.000Z,"l'express
@lexpressmaurice
·
Mar 16, 2022TotalEnergies se retirera de Birmanie sans «aucune compensation» https://lexpress.mu/article/406143/totalenergies-retirera-birmanie-sans-aucune-compensation?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1647452905…
1",,1,
Jo Dx,@DxJodx,2022-03-16T19:31:42.000Z,"Jo Dx
@DxJodx
·
Mar 16, 2022La décision de 
@TotalEnergies
 de poursuivre ses activités en Russie est scandaleuse. La multinationale choisit de faire passer ses profits avant nos vies. Que fait le gouvernement français ? #LaHonteTotal
greenpeace.fr
STOP Projets Pétroliers et Gaziers - Signez Maintenant La Pétition !
Ils détruisent la nature, violent les droits humains et sont en grande partie responsables des émissions de gaz à effets de serre. Les nouveaux projets pétroliers et gaziers doivent être stoppés !...",,,
Diego φ,@Diego6989,2022-03-16T19:25:39.000Z,"Diego φ
@Diego6989
·
Mar 16, 2022Replying to 
@10_th
 @Marc12119906
 and 2 others
Le marché de l'énergie c'est le marché tout court. C'est le modèle capitaliste ! 
L'économie ne se résume pas au courant libéral.
Vous me parlez de bêtises mais vous m'apportez aucun argument économique.
1",,,1
Diego φ,@Diego6989,2022-03-16T19:20:35.000Z,"Diego φ
@Diego6989
·
Mar 16, 2022Replying to 
@10_th
 @Marc12119906
 and 2 others
Tu balances du pognon pour une entreprise qui ne respecte ni l'environnement ni ses clients ! 
Si ça t'amuse tant mieux, pour nous Insoumis, c'est une honte !
1",1,,
Fortu Wealth,@fortu_wealth,2022-03-16T19:06:12.000Z,"Fortu Wealth
@fortu_wealth
·
Mar 16, 2022Oil and gas #stocks performance so far today

Exxon Mobil Corporation $XOM (-0.73%)
Chevron Corporation $CVX (-1.00%)
Shell plc $SHEL (-0.72%)
TotalEnergies SE $TTE (+0.16%)
Devon Energy Corporation $DVN (-1.48%)
Ecopetrol S.A. $EC (-0.24%)
1
1",,1,1
L'Indépendant,@lindependant,2022-03-16T18:57:59.000Z,"L'Indépendant
@lindependant
·
Mar 16, 2022 Prix des carburants: 
@TotalEnergies
 va augmenter la remise de l'Etat de 10 centimes par litre dans ses stations dès le 1er avril https://lindependant.fr/2022/03/16/prix-des-carburants-total-va-augmenter-la-remise-de-letat-de-10-centimes-par-litre-dans-ses-stations-des-le-1er-avril-10174588.php… via 
@lindependant
lindependant.fr
Prix des carburants: Total va augmenter la remise de l'Etat de 10 centimes par litre dans ses...
Le gouvernement avait annoncé une participation de Total ""à l'effort collectif"" dès le 1er avril. Le pétrolier a fixé ce coup de pouce supplémentaire à 10 centimes d'euro par litre.
1
2
3",1,2,3
Holly jeune happant!,@Hollyjnehappant,2022-03-16T18:53:11.000Z,"Holly jeune happant!
@Hollyjnehappant
·
Mar 16, 2022Ukraine – Le PDG de TotalEnergies dit avoir du mal à trouver le sommeil en pensant aux enfants de ses actionnaires
legorafi.fr
Ukraine – Le PDG de TotalEnergies dit avoir du mal à trouver le sommeil en pensant aux enfants de...
Dans un communiqué adressé aux employés de TotalEnergie, Patrick Pouyanné exprime son malaise face au dilemme posé par un éventuel retrait de Russie. « Avant d’être le PDG d'une entreprise du CAC 40,...",,,
François Vitse,@francoisvitse,2022-03-16T18:27:15.000Z,"François Vitse
@francoisvitse
·
Mar 16, 2022Déjà plus de 25000 signataires on compte sur votre mobilisation pour contraindre 
@TotalEnergies
 à quitter ses activités en #Russie ##UkraineRussiaConflict #StopTotal
change.org
Signez la pétition
STOP aux affaires de Total en Russie",,,
lptilou92,@lptilou92,2022-03-16T18:21:59.000Z,"lptilou92
@lptilou92
·
Mar 16, 2022@TotalEnergies
 il faut les boycotter en France car toujours en Russie que d'autres sont partis, alors pour Poutine et se font engraisser en France aussi sans faire d'efforts pour les français car d'avoir gagné des milliards, que d'autres ont vendu l'essence au prix coûtant",,,
vert,@Vert_le_media,2022-03-16T18:20:40.000Z,"vert
@Vert_le_media
·
Mar 16, 2022Ce mardi, la pression est montée d’un cran. 
@greenpeacefr
 et 
@amisdelaterre
 ont publiquement menacé TotalEnergies de poursuites judiciaires. Ce qui lui est reproché ? Ses partenariats avec des entreprises russes et sa participation à des projets pétro-gaziers dans l’Arctique.
1
1
5",1,1,5
vert,@Vert_le_media,2022-03-16T18:20:39.000Z,"vert
@Vert_le_media
·
Mar 16, 202220 jours que TotalEnergies persiste à continuer ses activités au pays de Vladimir Poutine. Malgré la guerre, indirectement financée par les revenus de l'exploitation des hydrocarbures. Les morts, les sanctions, la honte : rien n’arrête Total dans son projet mortifère.
1
1
5",1,1,5
Gaëtane MESLIN,@gaetanemeslin,2022-03-16T18:14:12.000Z,"Gaëtane MESLIN
@gaetanemeslin
·
Mar 16, 2022@PPouyanne
 de #TotalEnergies annonce une remise de 10 centimes/litre à partir du 1er avril dans toutes ses stations services. Avec la remise de 15 centimes du gouv ça fait 25 centimes en moins/litre. 
@bfmtv",,,
Jérémy V.,@liveliberte,2022-03-16T17:26:38.000Z,"Jérémy V.
@liveliberte
·
Mar 16, 2022Replying to 
@PPouyanne
 and 
@TotalEnergies
Le prix du carburant augmente d'abord de 30%,
 pour ensuite avoir droit à un remise de 10cts, 
c'est vraiment se moquer du peuple.
1
2",1,,2
gannnesh,@gannnesh,2022-03-16T17:10:40.000Z,"gannnesh
@gannnesh
·
Mar 16, 2022Replying to 
@FranckKnight72
 @PPouyanne
 and 
@TotalEnergies
En maintenant ses activités en Russie, c’est 
@PPouyanne
 qui pourrait bien se voir un de ces jours poursuivi pour complicité de crimes de guerre.
3",3,,
MADJID MADRID,@Rifitemsamane92,2022-03-16T16:59:26.000Z,"MADJID MADRID
@Rifitemsamane92
·
Mar 16, 2022Replying to 
@MickaCorreia
 and 
@TotalEnergies
Pourquoi total devrait se retirer ?",,,
Lrx ant,@Tonio_fr,2022-03-16T16:45:28.000Z,"Lrx ant
@Tonio_fr
·
Mar 16, 2022Replying to 
@TotalEnergies
 and 
@gouvernementFR
Total ne cessant pas ses activités en Russie ce sera sans moi et j'irai chez vos concurrents même s'ils sont plus cher #profiteurdeguerre
1
1",1,,1
