User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Globe Investor,@globeinvestor,2022-06-03T20:33:05.000Z,"Globe Investor
@globeinvestor
·
Jun 3, 2022Bullish on AltaGas Ltd.
theglobeandmail.com
Bullish on AltaGas Ltd.
A technical look at the stock",,,
Underground Infrastructure,@UConOnline,2022-05-31T17:13:01.000Z,"Underground Infrastructure
@UConOnline
·
May 31, 2022AltaGas Ltd. is selling ENSTAR Natural Gas to TriSummit Utilities Inc. for $800 million. The deal includes ENSTAR's associated pipelines and its majority ownership in a gas storage facility.

#Alaska #utility #pipelines #naturalgas #infrastructure
undergroundinfrastructure.com
Alaska's largest natural gas utility being sold for $800 million
The owner of the largest natural gas utility in Alaska said it is selling the company to Canada-based TriSummit Utilities Inc. for $800 million and it will include ENSTAR Natural Gas, the company's...",,,
Nathan,@shanzi73338680,2022-05-26T16:56:02.000Z,"Nathan
@shanzi73338680
·
May 26, 2022utilities business to TriSummit Utilities for $1.025 billion . CALGARY - AltaGas Ltd. says it has signed a deal to sell its Alaskan utilities business to TriSummit Utilities Inc. for $1.025 billion.
1",,,1
CTV News Calgary,@CTVCalgary,2022-05-26T15:30:28.000Z,"CTV News Calgary
@CTVCalgary
·
May 26, 2022AltaGas Ltd. says it has signed a deal to sell its Alaskan utilities business to TriSummit Utilities Inc. for $1.025 billion.
calgary.ctvnews.ca
AltaGas selling Alaskan utilities business to TriSummit Utilities for $1.025B
AltaGas Ltd. says it has signed a deal to sell its Alaskan utilities business to TriSummit Utilities Inc. for $1.025 billion.
1
7",,1,7
Ana Lorena Aguilar,@Lorena_aguilarm,2022-05-04T16:44:00.000Z,"Ana Lorena Aguilar
@Lorena_aguilarm
·
May 4, 2022El 2 de mayo iniciaron proceso de listado ante la BMV a través del SIC: 
1. Eneos Holdings, INC.
2.Oneok, INC. 
3.Orica, LTD. 
4.Tourmaline Oil Corp. 
5.Mister Spex, SE.
6.Mitsui & Co, LTD.
7. Altagas, LTD.
8.WH Group, LTD.
9.China Mengniu Dairy Company, LTD.
10. Igo, LTD.",,,
Buy-Sell Adviser,@BuySellAdviser,2022-05-03T20:00:01.000Z,"Buy-Sell Adviser
@BuySellAdviser
·
May 3, 2022#AltaGas Ltd. (TSX—ALA) is a buy. #UtilitiesStock #NaturalGasUtilityAssets
adviceforinvestors.com
2 top-10 oil and gas stocks to buy
Canadian petroleum companies are well-positioned for price hikes.",,,
Seeking Alpha,@SeekingAlpha,2022-03-04T22:05:09.000Z,"Seeking Alpha
@SeekingAlpha
·
Mar 4, 2022$ATGFF $ALTGF $ATGAF - AltaGas Ltd. (ATGFF) CEO Randall Crawford on Q4 2021 Results - Earnings Call Transcript. https://seekingalpha.com/article/4493093-altagas-ltd-atgff-ceo-randall-crawford-on-q4-2021-results-earnings-call-transcript?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated… #investing #stockmarket #stocks
seekingalpha.com
AltaGas Ltd. (ATGFF) CEO Randall Crawford on Q4 2021 Results - Earnings Call Transcript
AltaGas Ltd. (OTCPK:ATGFF) Q4 2021 Earnings Conference Call March 4, 2022 11:00 AM ETCompany ParticipantsAdam McKnight - Director-IRRandy Crawford - President and CEOJames Harbilas - EVP...",,,
Seeking Alpha,@SeekingAlpha,2022-03-04T17:58:31.000Z,"Seeking Alpha
@SeekingAlpha
·
Mar 4, 2022$ATGFF $ALTGF $ATGAF - AltaGas Ltd. 2021 Q4 - Results - Earnings Call Presentation. https://seekingalpha.com/article/4492999-altagas-ltd-2021-q4-results-earnings-call-presentation?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated… #markets #investing #finance
seekingalpha.com
AltaGas Ltd. 2021 Q4 - Results - Earnings Call Presentation (OTCMKTS:ATGFF)
The following slide deck was published by AltaGas Ltd.",,,
alaska news,@alaskanews4,2022-02-27T12:13:07.000Z,"alaska news
@alaskanews4
·
Feb 27, 2022AltaGas Ltd. (TSE:ALA) Receives “Buy” Consensus Rating From Analysts https://6park.news/alaska/altagas-ltd-tseala-receives-buy-consensus-rating-from-analysts.html…",,,
WKRB News,@WKRBNews,2022-02-18T08:40:48.000Z,"WKRB News
@WKRBNews
·
Feb 18, 2022AltaGas Ltd. $ATGFF Short Interest Up 39.8% in January http://wkrb13.com/?p=4140736 #markets",,,
alaska news,@alaskanews4,2022-02-14T08:48:05.000Z,"alaska news
@alaskanews4
·
Feb 14, 2022AltaGas Ltd. (TSE:ALA) is expected to post earnings of $1.70 per share in fiscal 2021 http://6park.news/alaska/altagas-ltd-tseala-is-expected-to-post-earnings-of-1-70-per-share-in-fiscal-2021.html…",,,
ETF Screener & Stock Picker,@ETFsStockPicker,2022-02-14T06:16:15.000Z,"ETF Screener & Stock Picker
@ETFsStockPicker
·
Feb 14, 2022#stocknews AltaGas Ltd. (TSE:ALA) Expected to Post FY2021 Earnings of $1.70 Per Share http://dlvr.it/SJwzdh
my.digitrade.pro
Copy Trader | Social Trading Platform | Forex Signal Providers
Start investing in the financial markets by easily copying trading strategy MyRobot1 with average monthly income 51.68% into your own brokerage account. Add this strategy to your portfolio and...",,,
Community Financial,@CFinancialNews,2022-02-14T06:15:45.000Z,"Community Financial
@CFinancialNews
·
Feb 14, 2022AltaGas Ltd. $ALA Expected to Post FY2021 Earnings of $1.70 Per Share http://americanbankingnews.com/?p=24432545 #markets",,,
US Banking News,@AmericanBanking,2022-02-14T06:15:44.000Z,"US Banking News
@AmericanBanking
·
Feb 14, 2022AltaGas Ltd. $ALA Expected to Post FY2021 Earnings of $1.70 Per Share http://americanbankingnews.com/?p=24432545 #stocks",,,
alaska news,@alaskanews4,2022-02-03T14:22:06.000Z,"alaska news
@alaskanews4
·
Feb 3, 2022Equity Analysts Offer Predictions for AltaGas Ltd.’s (TSE: ALA) Q4 2021 Earnings https://6park.news/alaska/equity-analysts-offer-predictions-for-altagas-ltd-s-tse-ala-q4-2021-earnings.html…",,,
alaska news,@alaskanews4,2022-02-02T11:22:04.000Z,"alaska news
@alaskanews4
·
Feb 2, 2022AltaGas Ltd. (TSE:ALA) receives a “buy” consensus rating from brokerage firms
6park.news
AltaGas Ltd. (TSE:ALA) receives a “buy” consensus rating from brokerage firms",,,
PFD Bot,@pfdbot,2022-01-08T07:02:32.000Z,"PFD Bot
@pfdbot
·
Jan 8, 2022Alaskans own 118,247 shares of Altagas Ltd, worth $2,332,551.22. It's in the  Utilities industry, based in  Canada.",,,
iNews24,@iNews24,2021-12-18T09:37:34.000Z,"iNews24
@iNews24
·
Dec 18, 2021Raymond James Stick to Their Buy Rating for AltaGas Ltd. - https://invst.ly/wx8wh [ https://twitter.com/newsinvesting/status/1472133329331888129… ]
Investing.com News
@newsinvesting
·
Dec 18, 2021
Raymond James Stick to Their Buy Rating for AltaGas Ltd. - https://invst.ly/wx8wh",,,
Investing.com News,@newsinvesting,2021-12-18T09:15:11.000Z,"Investing.com News
@newsinvesting
·
Dec 18, 2021Raymond James Stick to Their Buy Rating for AltaGas Ltd. - https://invst.ly/wx8wh
1",,1,
Investing.com News,@newsinvesting,2021-12-17T02:00:28.000Z,"Investing.com News
@newsinvesting
·
Dec 17, 2021RBC Capital Stick to Their Buy Rating for AltaGas Ltd. - https://invst.ly/wwvxf",,,
Baystreet.ca,@baystreet_ca,2021-12-15T16:31:04.000Z,"Baystreet.ca
@baystreet_ca
·
Dec 15, 2021Stocks in Play: AltaGas Ltd. http://dlvr.it/SFR3L1",,,
Baystreet.ca,@baystreet_ca,2021-12-03T15:46:08.000Z,"Baystreet.ca
@baystreet_ca
·
Dec 3, 2021Stocks in Play: AltaGas Ltd. http://dlvr.it/SDhWry",,,
5i Research Inc.,@5iresearchdotca,2021-12-03T13:06:10.000Z,"5i Research Inc.
@5iresearchdotca
·
Dec 3, 2021AltaGas Ltd. $ALA raises #dividend by 6%.
3",,,3
Seeking Alpha,@SeekingAlpha,2021-10-29T23:06:39.000Z,"Seeking Alpha
@SeekingAlpha
·
Oct 30, 2021$ATGFF $ALTGF $ATGAF - AltaGas Ltd. 2021 Q3 - Results - Earnings Call Presentation. https://seekingalpha.com/article/4463739-altagas-ltd-2021-q3-results-earnings-call-presentation?source=feed_f&utm_campaign=twitter_automated&utm_content=article&utm_medium=social&utm_source=twitter_automated… #stocks #markets #business
seekingalpha.com
AltaGas Ltd. 2021 Q3 - Results - Earnings Call Presentation (OTCMKTS:ATGFF)
The following slide deck was published by AltaGas Ltd.
1",,,1
YYC Happening,@YYC_happening,2021-10-12T13:11:27.000Z,"YYC Happening
@YYC_happening
·
Oct 12, 2021AltaGas Ltd. Announces Monthly Dividend
https://finance.yahoo.com/news/altagas-ltd-announces-monthly-dividend-124500596.html… #yyc",,,
