User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Newmont Corporation,@NewmontCorp,2020-05-05T12:10:02.000Z,"Newmont Corporation
@NewmontCorp
·
May 5, 2020#ICYMI $NEM’s first quarter 2020 earnings webcast starts at 9:00 a.m. Eastern Time. Register here: https://newmont.com/investors/news-release/news-details/2020/Newmont-Announces-First-Quarter-2020-Earnings-Call/default.aspx…
6",,,6
The Gold Analyst,@TheGoldAnalyst,2020-05-05T11:02:57.000Z,"The Gold Analyst
@TheGoldAnalyst
·
May 5, 2020Newmont Corp, the world's biggest $Gold miner, posted a more than nine-fold jump in quarterly profit on Tuesday, buoyed by higher production and a surge in bullion prices as safe-haven asset demand g
reuters.com
Gold miner Newmont's quarterly profit jumps on higher output, bullion prices
Newmont Corp, the world's biggest gold miner, posted a more than nine-fold jump in quarterly profit on Tuesday, buoyed by higher production and a surge in bullion prices as safe-haven asset demand...
1
2",,1,2
Quantcha Trade Ideas,@QuantchaIdeas,2020-05-05T10:50:24.000Z,"Quantcha Trade Ideas
@QuantchaIdeas
·
May 5, 2020StockTwits Trending Alert: Trading recent interest in NEWMONT CORP $NEM http://ideas.quantcha.com/2020/05/05/stocktwits-trending-alert-trading-recent-interest-in-newmont-corp-nem-4/…",,,
Shared Value Solutions,@SharedValueCA,2020-05-04T21:30:59.000Z,"Shared Value Solutions
@SharedValueCA
·
May 4, 2020World's largest gold miner names biggest COVID-19 operational challenge. 
@NewmontCorp
's CEO, Tom Palmer: ""We're taking a very conservative approach, ensuring we've got the health and safety of our workforce, along with local communities, front and center""
kitco.com
World's largest gold miner names biggest COVID-19 operational challenge
A roundup of all the mining news in the precious metals sector with a variety of company news, mining sector analysis, newsletter writer insights and executive interviews.",,,
Newmont Corporation,@NewmontCorp,2020-05-04T19:44:55.000Z,"Newmont Corporation
@NewmontCorp
·
May 4, 2020In an interview with Barron’s, #Newmont’s Tom Palmer says that the Company is well-positioned to maintain its industry-leading annual gold production through this decade, amid rising gold prices: https://nonperele.com/rising-gold-prices-will-boost-newmont-ceo-says-heres-what-to-expect-from-earnings/…
6
17",,6,17
Patrick Karim,@badcharts1,2020-05-03T19:16:43.000Z,"Patrick Karim
@badcharts1
·
May 3, 2020The power behind the next move for 
@NewmontCorp
 will be MIND BLOWING! #FOMO #gotgold $NEM #silver #gold #fintwit #preciousmetals $GLD $GDXJ $GDX $HUI $SPX
3
19",,3,19
Newmont Corporation,@NewmontCorp,2020-05-03T17:00:25.000Z,"Newmont Corporation
@NewmontCorp
·
May 3, 2020An area of focus for Newmont’s Community Support Fund is to improve food security in light of COVID-19. Our Peñasquito team delivered 1,000 food packages in 25 neighboring communities to people who are over 60, pregnant women and those with disabilities. https://bit.ly/3a2USmL
7
30",,7,30
Stock Traders Daily,@marketcycles,2020-05-03T09:18:03.000Z,"Stock Traders Daily
@marketcycles
·
May 3, 2020Directional Bias for Newmont Corp $NEM Trading Report http://dlvr.it/RVw4tZ Click for Details",,,
Stock Traders Daily,@marketcycles,2020-05-03T09:13:12.000Z,"Stock Traders Daily
@marketcycles
·
May 3, 2020Newmont Corp $NEM Trading Report https://goo.gl/fb/zGeYiU Click for Buy/Sell
news.stocktradersdaily.com
$NEM | Newmont Corp $$NEM Trading Report (NEM)",,,
Newmont Corporation,@NewmontCorp,2020-05-02T15:20:03.000Z,"Newmont Corporation
@NewmontCorp
·
May 2, 2020This week’s wellbeing tip: Allocate some time to getting up and moving. You can stand up while reading documents, walk when speaking on the phone and get some fresh air with your morning coffee. https://bit.ly/3a2USmL
4
15",,4,15
Daily Political,@dailypoliticaln,2020-05-02T10:40:37.000Z,"Daily Political
@dailypoliticaln
·
May 2, 2020FY2020 EPS Estimates for Newmont Goldcorp Corp $NEM Decreased by Analyst http://dailypolitical.com/?p=3789369",,,
Enterprise Leader,@EnterpriseLeade,2020-05-02T10:07:02.000Z,"Enterprise Leader
@EnterpriseLeade
·
May 2, 2020FY2020 EPS Estimates for Newmont Goldcorp Corp $NEM Decreased by Analyst  http://theenterpriseleader.com/?p=3067640",,,
Melqui Bringas,@BringasMelqui,2020-05-02T01:27:17.000Z,"Melqui Bringas
@BringasMelqui
·
May 2, 2020Replying to 
@MineraYanacocha
Excelente apoyo de #Yanacocha contribuyendo a combatir la pandemia 
@CongaPeru
 @FoncreagroCaj
 @CongaComunidads
 @RPPNoticias
 @Alberin15
 @calin6364
 @NewmontCorp
 @rumbominero
 @neburcax
1
4",,1,4
Albert,@Alberin15,2020-05-02T00:21:45.000Z,"Albert
@Alberin15
·
May 2, 2020Replying to 
@MineraYanacocha
@MineraYanacocha
 @Minsa_Peru
 @gob_reg
 @NewmontCorp
GIF
2
4",,2,4
Albert,@Alberin15,2020-05-02T00:20:36.000Z,"Albert
@Alberin15
·
May 2, 2020Replying to 
@MineraYanacocha
Gracias 
@MineraYanacocha
 por su compromiso con #Cajamarca buen aporte 
@PrimerPedal
 @yoni3556_luis
 @JulieRo02279354
 @JuanBar89847632
 @jcllaque
 @NewmontCorp
 #SeguimosSumando #Newmont #ElPerúEstáEnNuestrasManos  #JuntosAvanzamos 
@NewmontCorp
 @GarraCrema52
 @Minsa_Peru
 @maquena30
3
9",,3,9
Albert,@Alberin15,2020-05-01T23:51:54.000Z,"Albert
@Alberin15
·
May 2, 2020Replying to 
@MineraYanacocha
Feliz día del Trabajo 
@MineraYanacocha
 @NewmontCorp
 @rumbominero
 @AmautasMineros
 
#DíaDelTrabajador #ElPerúEstáEnNuestrasManos #Newmont
1
2",,1,2
AKWESI,@_AlbertAkwesi,2020-05-01T23:08:24.000Z,"AKWESI
@_AlbertAkwesi
·
May 2, 2020Replying to 
@NewmontCorp
It's a dream to one day work with you guys ...I hope it comes to pass...God bless you for such good works
1",,,1
Newmont Corporation,@NewmontCorp,2020-05-01T23:05:11.000Z,"Newmont Corporation
@NewmontCorp
·
May 2, 2020Newmont’s US$20 million Global Community Support Fund continues to support communities combatting the COVID-19 pandemic. Our CC&V team donated Chromebooks to 65 families in the community to assist with school and connectivity during the stay-at-home order. https://bit.ly/3a2USmL
1
6
22",1,6,22
𝔐𝔞𝔫𝔲 Ⓥ,@NonHumain,2020-05-01T10:55:33.000Z,"𝔐𝔞𝔫𝔲 Ⓥ
@NonHumain
·
May 1, 2020""Espérance"", un projet ""Montagne d'or"" bis obtient un vote favorable en #Guyane
https://la1ere.francetvinfo.fr/esperance-un-projet-montagne-d-or-bis-obtient-un-vote-favorable-en-guyane-828144.html…

#Newmont #CME #écocide #Terrorisme 
@NewmontCorp
 bande de crevures !",,,
Watchlist News,@WatchlistN,2020-05-01T08:30:13.000Z,"Watchlist News
@WatchlistN
·
May 1, 2020FY2020 EPS Estimates for Newmont Goldcorp Corp Decreased by Jefferies Financial Group $NEM http://zpr.io/tdvP3",,,
