User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Dale E Hayes,@Dale_E_Hayes,2022-05-31T17:50:24.000Z,"Dale E Hayes
@Dale_E_Hayes
·
May 31, 2022There is no oil shortage just greed
In the first three months of 2022, ExxonMobil pocketed $5.5 billion after taxes; Chevron gained $6.3 billion; and ConocoPhillips made $5.8 billion.
That is more money then they made in ALL of 2021.
GIF
ALT
7
6",,7,6
ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ,@Empressmish13,2022-05-31T16:56:06.000Z,"ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ
@Empressmish13
·
May 31, 2022Replying to 
@JudiciaryGOP
#StopPriceGouging #CorporateGreed
@exxonmobil
 @Shell
 @conocophillips
 @bp_America
 @WeAreOxy
 @Chevron
 @APIenergy
 @DevonEnergy
 @MarathonOil
 @ParPacific
 @DelekUSHoldings
 @PXDtweets
 @SinclairOilCorp
 @EOG_news",,,
ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ,@Empressmish13,2022-05-31T16:43:55.000Z,"ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ
@Empressmish13
·
May 31, 2022Replying to 
@RepAndyBiggsAZ
#StopPriceGouging #CorporateGreed
@exxonmobil
 @Shell
 @conocophillips
 @bp_America
 @WeAreOxy
 @Chevron
 @APIenergy
 @DevonEnergy
 @MarathonOil
 @ParPacific
 @DelekUSHoldings
 @PXDtweets
 @SinclairOilCorp
 @EOG_news",,,
Francisco Marmolejo,@fmarmole,2022-05-31T15:36:21.000Z,"Francisco Marmolejo
@fmarmole
·
May 31, 2022Can you successfully defend your thesis in just 3 minutes? This is one of the many ways in which 
@TAMUQ
 graduate students will exchange research experiences during the 2022 Graduate Research Forum at 
@Qf
-#EducationCity.
https://qatar.tamu.edu/2022-graduate-research-forum/?utm_source=hootsuite&utm_medium=&utm_term=&utm_content=&utm_campaign=GRF2022…
@conocophillips
 @3MT_official
ConocoPhillips News and 7 others
1
5",,1,5
Crwe World,@CrweWorld,2022-05-31T15:26:58.000Z,"Crwe World
@CrweWorld
·
May 31, 2022Thinking about trading options or stock in Nike, Unilever, Marathon Petroleum, Pinduoduo, or ConocoPhillips?
crweworld.com
Thinking about trading options or stock in Nike, Unilever, Marathon Petroleum, Pinduoduo, or...
Thinking about trading options or stock in Nike, Unilever, Marathon Petroleum, Pinduoduo, or ConocoPhillips?  ",,,
Baxter boy,@BludworthMartin,2022-05-31T15:13:56.000Z,"Baxter boy
@BludworthMartin
·
May 31, 2022Replying to 
@WstrnPriorities
 @Shell
 and 4 others
They get great tax incentives, leasing of lands, subsidized with the people's tax dollars. Thank you oiil companies for ripping us off. We really do appreciate your concern for our well being. Thank you.
1
4",,1,4
Stock Market Genius,@stockmktgenius,2022-05-31T14:49:25.000Z,"Stock Market Genius
@stockmktgenius
·
May 31, 2022$COP ConocoPhillips Common Sto Top stock up 119% from low. Close: 114.60 VolvsAvg: 0.94 Liq: $769M http://stockcharts.com/h-sc/ui?s=COP&p=D&yr=1&mn=0&dy=0&id=p14565816076…",,,
Quantcha Trade Ideas,@QuantchaIdeas,2022-05-31T14:38:57.000Z,"Quantcha Trade Ideas
@QuantchaIdeas
·
May 31, 202252-Week High Alert: Trading today’s movement in CONOCOPHILLIPS $COP https://ideas.quantcha.com/2022/05/31/52-week-high-alert-trading-todays-movement-in-conocophillips-cop/…",,,
Chris Ford,@chrisgford,2022-05-31T14:25:08.000Z,"Chris Ford
@chrisgford
·
May 31, 2022Replying to 
@brandonkpresley
I just bought some $COP ConocoPhillips. Low P/E and good growth prospects with the oil shortages right now.
2",,,2
Krista,@KPN447,2022-05-31T14:09:13.000Z,"Krista
@KPN447
·
May 31, 2022Replying to 
@willies2slick
 and 
@RepAndyBiggsAZ
Also.. there are lots of unused leases. ConocoPhillips is Alaska’s largest crude oil producer and largest owner of exploration leases, with approximately 1.6 million net undeveloped acres at year-end 2021.
conocophillips.com
Alaska
ConocoPhillips is Alaska’s largest crude oil producer with major ownership interests in Kuparuk and Prudhoe Bay on the North Slope.
1",1,,
Climate Pledge Earth Day Bot,@EarthDayApp,2022-05-31T12:52:47.000Z,"Climate Pledge Earth Day Bot
@EarthDayApp
·
May 31, 2022conocophillips pledged to achieve net zero by 2050. This is 10yrs later than the average.
 Incomplete Plan
 At least Annual Reporting
 Poor Value Chain Auditing
 Carbon Credits Included
See full report https://zerotracker.net/companies/conocophillips-com-0232…
ConocoPhillips
@conocophillips
·
May 31, 2022
#ConocoPhillips was named to the North American Dow Jones Sustainability Index for the 15th consecutive year. Learn more: https://bit.ly/3sRjnj5 #2022SPGlobalYearbook #DJSI",,,
ConocoPhillips,@conocophillips,2022-05-31T12:30:07.000Z,"ConocoPhillips
@conocophillips
·
May 31, 2022#ConocoPhillips was named to the North American Dow Jones Sustainability Index for the 15th consecutive year. Learn more: https://bit.ly/3sRjnj5 #2022SPGlobalYearbook #DJSI
1
2
11",1,2,11
Dena Wiggins,@DenaEveWiggins,2022-05-31T12:20:29.000Z,"Dena Wiggins
@DenaEveWiggins
·
May 31, 2022Thanks, 
@bp_America
 @EquinorASA
 @Chevron
 @exxonmobil
 @conocophillips
 @Shell_NatGas
 & #Tenaska for joining 
@Natgas_NGSA
 in Houston recently. Our discussions on #NatGas infrastructure & #EnergyPolicy are crucial as the world moves toward a cleaner future that is affordable for all
3
7",,3,7
Alexander Abbey,@Abbey9Alexander,2022-05-31T11:14:57.000Z,"Alexander Abbey
@Abbey9Alexander
·
May 31, 2022Replying to 
@conocophillips
 and 
@COP_Careers",,,
amir amiri,@amirami83157901,2022-05-31T09:53:05.000Z,"amir amiri
@amirami83157901
·
May 31, 2022good",,,
Social Investor: la ESG por finanzas.com,@Soc_Investor,2022-05-31T08:35:26.000Z,"Social Investor: la ESG por finanzas.com
@Soc_Investor
·
May 31, 2022● Los inversores de grandes nombres propios como Exxon, Chevron o ConocoPhillips han sido mucho más duros con el sector, más retrasado en objetivos climáticos que las compañías europeas https://bit.ly/3PSTCbW",,,
finanzas.com,@finanzascom,2022-05-31T08:20:16.000Z,"finanzas.com
@finanzascom
·
May 31, 2022● Los inversores de grandes nombres propios como Exxon, Chevron o ConocoPhillips han sido mucho más duros con el sector, más retrasado en objetivos climáticos que las compañías europeas https://bit.ly/3a8NLPA",,,
*☆￮༺𓂂𓂃 ☆ M L R ☆ 𓂃𓂂༻￮☆*,@MLAT07167996,2022-05-30T23:40:54.000Z,"*☆￮༺𓂂𓂃 ☆ M L R ☆ 𓂃𓂂༻￮☆*
@MLAT07167996
·
May 31, 2022Replying to 
@ACTBrigitte
He did. There are 9,000 permits for drilling already approved.  Big Oil has been making historic profits. In the first three months of 2022, ExxonMobil pocketed $5.5 billion after taxes; Chevron gained $6.3 billion, and ConocoPhillips made $5.8 billion. It's called price gouging.",,,
EnerGeo Alliance,@EnerGeoAlliance,2022-05-30T23:02:02.000Z,"EnerGeo Alliance
@EnerGeoAlliance
·
May 31, 2022#MemberMonday meet 
@conocophillips
 one of the world's largest independent E&P companies. The company's innovative, collaborative efforts yield products that improve quality of life globally while producing economic benefits. https://conocophillips.com #energystartshere
1",,,1
soulsearchingdotcom,@copperfields18,2022-05-30T22:11:09.000Z,"soulsearchingdotcom
@copperfields18
·
May 31, 2022Then add this 
Big Oil has been making historic profits. In the first 3 months of 2022 ExxonMobil pocketed $5.5 billion after taxes Chevron gained $6.3 billion ConocoPhillips made $5.8 billion That is why the prices are highBlame Big oil which you all have your greedy fingers in!
GOP
@GOP
·
May 29, 2022
Gas prices hit record highs once again, on the busiest travel weekend of the year https://foxbusiness.com/markets/gasoline-hits-record-high-during-memorial-day-weekend…",,,
The_Weary_Drifter,@citysims,2022-05-30T22:10:15.000Z,"The_Weary_Drifter
@citysims
·
May 31, 2022Replying to 
@brenthatley
 @GOP
 and 6 others
No surprises there brent. I live in Manchin's Coal first state where we just had 22.73% primary voter turnout for November's midterms. Some populations want to stay ignorant, poor and plain stupid that's why it seems like the 30% are making decisions for the 70%",,,
The_Weary_Drifter,@citysims,2022-05-30T22:02:23.000Z,"The_Weary_Drifter
@citysims
·
May 31, 2022Replying to 
@brenthatley
Nothing like creating a fuel crisis with help from the entire 
@gop
 and blaming a sitting president for it huh 
@exxonmobil
 @ChevronHouston
 @Shell
 @CITGO
 @Phillips66Co
 @conocophillips
 ???
1",1,,
Arts Commons Education,@yycARTSed,2022-05-30T21:27:14.000Z,"Arts Commons Education
@yycARTSed
·
May 30, 2022The adventures have begun with grade 1 & 2 students from 
@BRS_school
! We are exploring storytelling on 
@yycarts
 stages and how they can tell their own .
@yycccom
 @conocophillips
 #HubForInspiredLearning
2
6",,2,6
Kaspars Briškens,@Briskens,2022-05-30T20:05:41.000Z,"Kaspars Briškens
@Briskens
·
May 30, 2022Replying to 
@GatisAbele
ExxonMobil un ConocoPhillips darbinieki var droši turpināt baudīt ikrīta Katy Freeway labumus. Tomēr mums labāks piemērs ir Stokholma - lielpilsēta ar labāko mobilitāti un vienlaikus dēļ savām Triple Helix inovāciju ekosistēmām - pasaules 'per capita' vienradžu galvaspilsēta.
1",,,1
Bob Peterson,@BobPete65621037,2022-05-30T19:06:48.000Z,"Bob Peterson
@BobPete65621037
·
May 30, 2022Replying to 
@conocophillips
Tungsten turbo housing
Titanium/Boron impeller
Titanium/Boron light as Aluminum",,,
Bob Peterson,@BobPete65621037,2022-05-30T18:51:07.000Z,"Bob Peterson
@BobPete65621037
·
May 30, 2022Replying to 
@conocophillips
Iridium pistons in engines.",,,
Bob Peterson,@BobPete65621037,2022-05-30T18:50:04.000Z,"Bob Peterson
@BobPete65621037
·
May 30, 2022Replying to 
@conocophillips
Propane power, Duel Fuel
Port injection GAS
Direct injection Propane",,,
Bob Peterson,@BobPete65621037,2022-05-30T18:38:06.000Z,"Bob Peterson
@BobPete65621037
·
May 30, 2022Replying to 
@conocophillips
Just an idea, Natural gas well power a generator on a semi trailer for quick cash maybe on private land. 
Or make Propane from a portable Natural Gas to Propane refinery mounted on a semi trailer.
1",1,,
Bob Peterson,@BobPete65621037,2022-05-30T18:33:57.000Z,"Bob Peterson
@BobPete65621037
·
May 30, 2022Replying to 
@conocophillips
Titanium fuel tank Propane
Magnetic float  inside of fuel tank to shut off when refilling. For vehicles.",,,
Bob Peterson,@BobPete65621037,2022-05-30T18:31:34.000Z,"Bob Peterson
@BobPete65621037
·
May 30, 2022Replying to 
@conocophillips
Titanium Propane pressure vessels for storage and transport. Propane has a higher BTU rating than Natural gas plus a lower liquefied pressure.",,,
Bob Peterson,@BobPete65621037,2022-05-30T18:30:32.000Z,"Bob Peterson
@BobPete65621037
·
May 30, 2022Replying to 
@conocophillips
More Propane
Power  the Caribbean with Propane 
Power plants and vehicles",,,
ConocoPhillipsAlaska,@COP_Alaska,2022-05-30T16:00:05.000Z,"ConocoPhillipsAlaska
@COP_Alaska
·
May 30, 2022On this day of remembrance, we pause to honor those who have sacrificed their lives in service to our country. ConocoPhillips is honored to support Gold Star Peak, Inc., an organization bringing families and veterans together, in nature, to honor the fallen and bring healing.
1
2",,1,2
a beltran,@fabfashionista8,2022-05-30T15:56:33.000Z,"a beltran
@fabfashionista8
·
May 30, 2022Oil companies are celebrating their biggest profits. In the first 3 months of 2022 alone, ExxonMobil raked in a record $5.5 billion, ConocoPhillips $5.8 billion & Chevron $6 billion. Why not tax them to #CancelStudentDebt
#MedicareForAll
#WBAI 
@RepMcGovern
 https://juancole.com/2022/05/profiteering-climate-ukraine.html…
Medea Benjamin
@medeabenjamin
·
Aug 18, 2016
An @exxonmobil commercial during #GreenTownHall? Really CNN?
2
1",,2,1
The Retirement Group,@TRGLLC,2022-05-30T15:52:07.000Z,"The Retirement Group
@TRGLLC
·
May 30, 2022ConocoPhillips Lump Sum Payments Likely to Decrease in Q4 With Rates Continuing to Increase #lumpsum #interestrates https://theretirementgroup.com/blog/conocophillips-lump-sum-payments-likely-to-decrease-in-q4-with-rates-continuing-to-increase…",,,
a beltran,@fabfashionista8,2022-05-30T15:49:14.000Z,"a beltran
@fabfashionista8
·
May 30, 2022Oil companies are celebrating their biggest profits. In the first 3 months of 2022 alone, ExxonMobil raked in a record $5.5 billion, ConocoPhillips $5.8 billion, & Chevron $6 billion. Why not tax them to #CancelStudentDebt #ACLU 
@RepJayapal
 #MedicareForAll
juancole.com
Oil Profiteering: High Gas Prices, Climate Change, and the War in Ukraine share a Common Cause
By Lindsay Owens and Hebah Kassem | - ( Afterwords.org) - Amid the ongoing atrocities in Ukraine, rising gas prices, …
1",,,1
Jam Khan,@JamKhan66130256,2022-05-30T15:12:42.000Z,"Jam Khan
@JamKhan66130256
·
May 30, 2022Good",,,
Financial Staffer,@FinancialStaff1,2022-05-30T15:00:10.000Z,"Financial Staffer
@FinancialStaff1
·
May 30, 2022Idea #72 How to cope with Job Loss w.... http://dld.bz/hvBwM #layoff  -  #ATT  #conocophillips  #petroleum   #OMP #PMP #layoff",,,
Stock Market Genius,@stockmktgenius,2022-05-30T14:33:57.000Z,"Stock Market Genius
@stockmktgenius
·
May 30, 2022$COP ConocoPhillips Common Sto Top stock up 119% from low. Close: 114.60 VolvsAvg: 0.94 Liq: $769M http://stockcharts.com/h-sc/ui?s=COP&p=D&yr=1&mn=0&dy=0&id=p14565816076…",,,
Flava Flave,@alohajill1,2022-05-30T13:09:04.000Z,"Flava Flave
@alohajill1
·
May 30, 2022Replying to 
@john_kaufman
I’m sure ConocoPhillips really appreciates the endorsement.
2
1
72",2,1,72
OilfieldTechnology,@OilfieldTechMag,2022-05-30T12:37:00.000Z,"OilfieldTechnology
@OilfieldTechMag
·
May 30, 2022.
@conocophillips
 Skandinavia AS completes drilling of appraisal well 6507/5-11 on oil discovery in the Norwegian Sea.
oilfieldtechnology.com
ConocoPhillips Skandinavia AS completes drilling of appraisal well 6507/5-11 on oil discovery in...
The well was drilled about 22 kilometres northeast of the Heidrun field, and about 270 kilometres north of Kristiansund.",,,
Tickeron,@Tickeron,2022-05-30T11:19:35.000Z,"Tickeron
@Tickeron
·
May 30, 2022$COP's 10-day Moving Average crossed above its 50-day Moving Average on May 11, 2022. View odds for this and other indicators: https://srnk.us/go/3708593 #ConocoPhillips
1
1",,1,1
Rico-Enoro Limited,@ricoenoro,2022-05-30T10:23:08.000Z,"Rico-Enoro Limited
@ricoenoro
·
May 30, 2022ConocoPhillips curbs resource estimate for Norwegian oil discovery http://dlvr.it/SRJ9Sg",,,
Offshore Energy Today,@offshoreenergyt,2022-05-30T09:56:57.000Z,"Offshore Energy Today
@offshoreenergyt
·
May 30, 2022. 
@conocophillips
 curbs resource estimate for Norwegian #oildiscovery -https://buff.ly/3x0kUop - #OffshoreEnergy #offshore #Norway #oilandgas #oilandgasnews #energy #offshoredrilling #rigs
1
1",,1,1
Kat.,@kfocht,2022-05-30T07:17:31.000Z,"Kat.
@kfocht
·
May 30, 2022Profiteering, price gouging Big Oil has been making historic profits. In Q1 of 2022, ExxonMobil had $5.5 billion after taxes; Chevron gained $6.3 billion; & ConocoPhillips made $5.8 billion.""  May 11, 2022, #Greed https://google.com/amp/s/www.newyorker.com/news/our-columnists/as-gas-prices-reach-new-highs-oil-companies-are-profiteering/amp…
GOP
@GOP
·
May 29, 2022
Gas prices hit record highs once again, on the busiest travel weekend of the year https://foxbusiness.com/markets/gasoline-hits-record-high-during-memorial-day-weekend…",,,
Jannatul Lota,@jannatul_lota,2022-05-30T04:30:36.000Z,"Jannatul Lota
@jannatul_lota
·
May 30, 2022",,,
The Cordova Times,@thecordovatimes,2022-05-29T22:00:11.000Z,"The Cordova Times
@thecordovatimes
·
May 30, 2022New story: ConocoPhillips produces first oil from Fiord West Kuparuk https://thecordovatimes.com/2022/05/29/conocophillips-produces-first-oil-from-fiord-west-kuparuk/…",,,
ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ,@Empressmish13,2022-05-29T14:44:09.000Z,"ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ
@Empressmish13
·
May 29, 2022Replying to 
@GOPChairwoman
If only the POTUS actually did control the price of gas.
#StopPriceGouging #CorporateGreed
@exxonmobil
 @Shell
 @conocophillips
 @bp_America
 @WeAreOxy
 @Chevron
 @APIenergy
 @DevonEnergy
 @MarathonOil
 @ParPacific
 @DelekUSHoldings
 @PXDtweets
 @SinclairOilCorp
 @EOG_news",,,
Chris Fisher,@FisherSpeaks,2022-05-29T14:03:19.000Z,"Chris Fisher
@FisherSpeaks
·
May 29, 2022Replying to 
@WilderInstitute
 and 
@conocophillips
Chris Fisher
@FisherSpeaks
·
Oct 5, 2021
In 2021, you can see more Whooping Cranes in a single field than were found on the entire planet 75 years ago. Yes to conservation.
8",,,8
soulsearchingdotcom,@copperfields18,2022-05-29T13:35:01.000Z,"soulsearchingdotcom
@copperfields18
·
May 29, 2022Can we talk about the profits the Gas & Oil industry is raking in 
@GOPChairwoman
 Big Oil has been making historic profits In 1st 3 months of 2022 ExxonMobil pocketed $5.5 billion after taxes Chevron gained $6.3 billion ConocoPhillips made $5.8 billion
#GOPLiesAboutEverything
Ronna McDaniel
@GOPChairwoman
·
May 29, 2022
Gas prices have risen every day for 34 days in a row.
 
Biden called that an “incredible [energy] transition.”",,,
Coinbays Official,@coinbays,2022-05-29T13:11:51.000Z,"Coinbays Official
@coinbays
·
May 29, 2022“The pilot project has been enough of a success that the company plans to roll it out on a much wider basis. ConocoPhillips is reportedly working on a similar project,” said Tapscott.
1",1,,
ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ,@Empressmish13,2022-05-29T12:38:11.000Z,"ₘ.ₐ. ₗₐₚᵢₙₛₖᵢ
@Empressmish13
·
May 29, 2022Replying to 
@GOPChairwoman
Yet the price of crude oil has gone down approximately 13% since March & big oil are raking in record profits.
@exxonmobil
 @Shell
 @conocophillips
 @bp_America
 @WeAreOxy
 @Chevron
 @APIenergy
 @DevonEnergy
 @MarathonOil
 @ParPacific
 @DelekUSHoldings
 @PXDtweets
 @SinclairOilCorp
 @EOG_news",,,
дипломат,@zihadbishwas1,2022-05-29T09:44:06.000Z,"дипломат
@zihadbishwas1
·
May 29, 2022Good eork",,,
CarbonChain,@CarbonChain_io,2022-05-29T09:13:00.000Z,"CarbonChain
@CarbonChain_io
·
May 29, 2022""ConocoPhillips shareholders did not support a proposal to include its customers' emissions to its greenhouse gas reduction targets, according to a preliminary tally of votes on the resolution.""
reuters.com
ConocoPhillips' shareholders vote against new emissions-reduction targets
ConocoPhillips shareholders on Tuesday did not support a proposal to include its customers' emissions to its greenhouse gas reduction targets, according to a preliminary tally of votes on the...
1",,,1
Trump Votes,@trump_votes,2022-05-29T07:53:11.000Z,"Trump Votes
@trump_votes
·
May 29, 2022CONOCOPHILLIPS. VOTE!",,,
Jannatul Lota,@jannatul_lota,2022-05-29T07:33:52.000Z,"Jannatul Lota
@jannatul_lota
·
May 29, 2022",,,
Emanuel Bria,@EmanuelBria3,2022-05-29T07:00:19.000Z,"Emanuel Bria
@EmanuelBria3
·
May 29, 2022Fitch takes Indonesia’s Medco off rating watch after ConocoPhillips acquisition… https://energyvoice.com/oilandgas/asia/414114/fitch-takes-indonesias-medco-off-rating-watch-after-conocophillips-acquisition/?utm_source=twitter… via 
@energyvoicenews
energyvoice.com
Fitch takes Indonesia’s Medco off rating watch after ConocoPhillips acquisition
Fitch Ratings has removed Medco Energi from rating watch, as the oil and gas company has completed the acquisition of the giant Corridor Block from",,,
