User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Éric Piolle,@EricPiolle,2021-02-11T18:04:21.000Z,"Éric Piolle
@EricPiolle
·
Feb 11, 2021La justice confirme que #TotalEnergies ne peut se déclarer ""incompétent"" sur le respect de l'accord de Paris et doit bien rendre des comptes sur le #climat. L'extension de l' #aéroport #Roissy finalement jugée ""obsolète"". Pas de fatalité. La mobilisation paie. #OnContinue
6
50
191",6,50,191
E&E News,@EENewsUpdates,2021-02-10T16:17:48.000Z,"E&E News
@EENewsUpdates
·
Feb 10, 2021Total SE, the French oil and gas producer, is asking its investors to approve a new company name that will symbolically ratify its shift to a broader mix of energy: TotalEnergies.
https://nytv.to/7YgAz
1",,,1
Sébastien Soleille,@sebsoleille,2021-02-10T13:12:15.000Z,"Sébastien Soleille
@sebsoleille
·
Feb 10, 2021Avec une proposition de changement de nom (#TotalEnergies), @Total continue à afficher sa volonté de se diversifier sur le plan énergétique. #transitionenergetique #renouvelable #Climat
Novethic
@Novethic
·
Feb 10, 2021
#Énergie | ""TotalEnergies"" : un nouveau nom, pour promouvoir un nouveau mix énergétique http://nvth.fr/36UyqxC",,,
wilmouth martial,@MartialWilmouth,2021-02-10T10:54:10.000Z,"wilmouth martial
@MartialWilmouth
·
Feb 10, 2021Total se rebaptise TotalEnergies pour mieux s'ancrer dans le renouvelable https://lefigaro.fr/societes/total-plonge-dans-le-rouge-en-2020-et-veut-changer-de-nom-20210209… via 
@Figaro_Economie
1",,,1
Circle,@circle_strategy,2021-02-10T10:30:06.000Z,"Circle
@circle_strategy
·
Feb 10, 2021Le pétrolier @Total veut « ancrer » sa transition vers l'électricité et les renouvelables en se rebaptisant « TotalEnergies ».
#total #energie #industrie #transitionenergetique
https://lesechos.fr/industrie-services/energie-environnement/total-met-en-scene-sa-transformation-en-changeant-de-nom-1288790…",,,
Cécile Crouzel,@ccrouzel,2021-02-10T08:38:32.000Z,"Cécile Crouzel
@ccrouzel
·
Feb 10, 2021Total se rebaptise TotalEnergies pour mieux s'ancrer dans le renouvelable https://lefigaro.fr/societes/total-plonge-dans-le-rouge-en-2020-et-veut-changer-de-nom-20210209… via 
@Figaro_Economie",,,
ResearchPool,@ResearchPool,2021-02-10T08:36:34.000Z,"ResearchPool
@ResearchPool
·
Feb 10, 2021$FP #Total SE Total : Total renamed TotalEnergies and focusing on renewables: >Q4 2020 results 9% better than expected - Adjusted net profit came in at $ 1.304bn, 8.7% above forecasts (ODDO BHF $ 1.1bn/ consensus $ 1.2bn), marked by an… http://dlvr.it/RsP6nf #equity #stocks",,,
Eric Debray,@ericdebray,2021-02-10T07:55:20.000Z,"Eric Debray
@ericdebray
·
Feb 10, 2021Pressé par la crise sanitaire, qui a fait chuter le prix du pétrole, Total accélère ses investissements dans le solaire et l'éolien.
Cette stratégie veut s'incarner dans un nouveau nom TotalEnergies
latribune.fr
Ebranlé par la crise, Total met le cap sur les renouvelables et devient TotalEnergies
La major française essuie une perte record de plus de 7 milliards de dollars. Pressé par la crise sanitaire, qui a fait chuter le prix du pétrole, Total accélère ses investissements dans le solaire...
3",,,3
ResearchPool,@ResearchPool,2021-02-10T07:15:12.000Z,"ResearchPool
@ResearchPool
·
Feb 10, 2021$FP #Total SE Total : Total devient TotalEnergies et se tourne vers les renouvelables: >Résultat T4 2020 9% supérieur aux attentes - Le RNpg ajusté ressort à 1 304 M$, 8.7% supérieur aux attentes (ODDO BHF 1.1 Md$/ consensus 1.2 Md$)… http://dlvr.it/RsNv3h #equity #stocks",,,
TotalEnergies Foundation,@TotalEnergies_F,2021-02-09T12:29:48.000Z,"TotalEnergies Foundation
@TotalEnergies_F
·
Feb 9, 2021Les représentations du programme lycéens citoyens 
@lacolline_tn
 se poursuivent  Après Nantes, elles se déroulent à Paris avant Reims & Strasbourg. Exercer sa citoyenneté par le #théâtre, bousculer des stéréotypes sociaux : le défi de cette initiative
#Jeunes #éducation #culture
La Colline
@lacolline_tn
·
Feb 5, 2021
""Je suis venu mais je n’aurais pas dû. C’était une faiblesse de ma part. Un arbre ne peut pas être effrayé.""
Christophe Honoré, Dear Prudence
-
Représentation aujourd'hui au lycée Maurice-Ravel dans le cadre de Lycéens citoyens https://colline.fr/publics/lyceens-citoyens-sur-les-chemins-du-theatre…
1
3",1,,3
