User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
IR Magazine,@IRMagazine,2020-09-16T22:02:16.000Z,"IR Magazine
@IRMagazine
·
Sep 17, 2020@wearenuvo
 is presenting our next award, best in sector: materials. Congratulations to the winner 
@NewmontCorp
 ! #irawards #irchat
2",,,2
ARMR Report,@BretRosenthal,2020-09-16T21:04:37.000Z,"ARMR Report
@BretRosenthal
·
Sep 16, 2020#ARMRreport 
$NEM ""The world’s biggest gold producer sees the price of the precious metal remaining “elevated” as governments continue pandemic stimulus spending, but don’t expect that to change Newmont Corp.’s focus on fiscal “discipline” any time soon"" Bloomberg
3",,,3
Beatrice Opoku-Asare,@bopokuasare,2020-09-16T18:45:39.000Z,"Beatrice Opoku-Asare
@bopokuasare
·
Sep 16, 2020Replying to 
@NewmontAu
 @ausgoldindustry
 and 3 others
Great job team Australia
2",,,2
Susan Pawlak,@InfogixSue,2020-09-16T18:03:04.000Z,"Susan Pawlak
@InfogixSue
·
Sep 16, 2020Two #datacatalog success stories, one webinar! Join @Infogix on 9/30 at 10 am CT with 
@BridgestoneUS
 and 
@NewmontCorp
 to hear each company’s transformation story, their perspective on key challenges and advice for how to succeed with #data. Register now: https://okt.to/WyhPrT",,,
Albert,@Alberin15,2020-09-16T18:00:36.000Z,"Albert
@Alberin15
·
Sep 16, 2020Replying to 
@FoncreagroCaj
Buena iniciativa 
@FoncreagroCaj
 @NewmontCorp
 @MineraYanacocha
 @maquena30
 @SheylliSanchez
 @jcllaque
 @JuanBar89847632
 @calin6364
 @gob_reg
 @ElvisSerrano9
 @JSuarez259
 @Cuberbill
 @MarcoMezaAbant1
 @PrimerPedal
 @cmsantivanez
 @GarraCrema52
 @BringasMelqui
 @MinamPeru
 @MarisolGrozo
1
3",,1,3
Newmont Corporation,@NewmontCorp,2020-09-16T17:50:27.000Z,"Newmont Corporation
@NewmontCorp
·
Sep 16, 2020Newmont has benefited greatly from our partnership with 
@P4Parity
 by finding new ways to dismantle barriers to equity through action and collaboration. Learn more about our Global Inclusion and Diversity journey in today’s blog: https://bit.ly/3kpf1ca
6
9",,6,9
Gold Terra Resource Corp,@GoldTerra,2020-09-16T14:21:33.000Z,"Gold Terra Resource Corp
@GoldTerra
·
Sep 16, 2020The Ellis Martin Report speaks with David Suda, President and CEO of Gold Terra Corp. The company just signed an agreement to  earn up to a 60% Interest on adjacent mining claims to the former Con Mine owned by Newmont.
#TSXV #OTCQX #juniormining
youtube.com
Ellis Martin Report: Gold Terra inks agreement with Newmont on...
In this segment of The Ellis Martin Report, we speak with David Suda, President and CEO of Gold Terra Corp (TSX-V:YGT/OTC:YGTFF). The company just signed an...
3
1",,3,1
Albert,@Alberin15,2020-09-15T22:24:55.000Z,"Albert
@Alberin15
·
Sep 16, 2020Replying to 
@FoncreagroCaj
 and 
@MineraYanacocha
@FoncreagroCaj
 @MineraYanacocha
 @NewmontCorp
 @MarcoMezaAbant1
 @MarisolGrozo
 @JuanBar89847632
 @jcllaque
 @JSuarez259
 @gob_reg
 @MuniCajamarca_
 @jcllaque
 @MarcoMezaAbant1
 @c_cornejop
 @cmsantivanez
 @Abelvaldivia8
 @ElvisSerrano9
 @AGROIDEASPeru
 @calin6364
2",,,2
Albert,@Alberin15,2020-09-15T16:55:41.000Z,"Albert
@Alberin15
·
Sep 15, 2020Replying to 
@LosAndesCaj
@MineraYanacocha
 @LosAndesCaj
 @NewmontCorp
 @gob_reg
 @MuniCajamarca_
 @institutoahorro
GIF
ALT
1
3",,1,3
Albert,@Alberin15,2020-09-15T16:29:07.000Z,"Albert
@Alberin15
·
Sep 15, 2020Replying to 
@MineraYanacocha
@MineraYanacocha
 @NewmontCorp
 @gob_reg
 @MuniCajamarca_
 @MarcoMezaAbant1
 @JSuarez259
 @JuanBar89847632
 @GarraCrema52
 @Cuberbill
 @MineduPeru
 @MTPE_Peru
GIF
ALT
2
3",,2,3
Albert,@Alberin15,2020-09-15T16:26:36.000Z,"Albert
@Alberin15
·
Sep 15, 2020Replying to 
@MineraYanacocha
Excelentes Tips para cuidar nuestra información al trabajar desde casa 
@MineraYanacocha
  #Cajamarca 
@NewmontCorp
 @PrimerPedal
 #ProtegeTuInformación 
@yoni3556_luis
 #TrabajoRemoto #JuntosAvanzamos 
@MininterPeru
 @JulieRo02279354
 @NewmontCorp
 @GarraCrema52
 @LauraSotoCastae
 @artime68
3
5",,3,5
Newmont Corporation,@NewmontCorp,2020-09-15T16:25:02.000Z,"Newmont Corporation
@NewmontCorp
·
Sep 15, 2020Today, Newmont President and CEO Tom Palmer joins Board Chair Noreen Doyle at 
@P4Parity
’s Annual Meeting to discuss dismantling barriers to gender equity through action and collaboration.
6
13",,6,13
Albert,@Alberin15,2020-09-15T15:54:47.000Z,"Albert
@Alberin15
·
Sep 15, 2020Replying to 
@FoncreagroCaj
@Senasa_Peru
 @FoncreagroCaj
 @minagriperu 
@MineraYanacocha
 @SenacePeru
 @NewmontCorp
 @GarraCrema52
 @SheylliSanchez
 @JuanBar89847632
 @artime68
 @MarcoMezaAbant1
 @IbethGrozo
 @richiobla1
 @c_cornejop
 @cmsantivanez
 @BringasMelqui
 @johanlopezarate
1
3",,1,3
Albert,@Alberin15,2020-09-15T15:46:27.000Z,"Albert
@Alberin15
·
Sep 15, 2020Replying to 
@FoncreagroCaj
 and 
@MineraYanacocha
@Senasa_Peru
 @FoncreagroCaj
 @minagriperu 
@MineraYanacocha
 @SenacePeru
 @NewmontCorp
 @gob_reg
 @MuniCajamarca_
2
3",,2,3
